name,avg_vmaf
ice4cif_27qp_0fr_60fps_fast-preset_8t,95.7916567375
ice4cif_37qp_0fr_60fps_fast-preset_8t,81.23327436458334
ice4cif_32qp_0fr_60fps_slower-preset_8t,93.19334313958333
ice4cif_37qp_0fr_60fps_slow-preset_8t,85.51938933125
ice4cif_27qp_0fr_60fps_slow-preset_8t,97.03099763333333
ice4cif_22qp_0fr_60fps_medium-preset_8t,98.99028638958333
ice4cif_32qp_0fr_60fps_faster-preset_8t,88.86383706458334
ice4cif_27qp_0fr_60fps_medium-preset_8t,96.97680706041666
ice4cif_37qp_0fr_60fps_slower-preset_8t,86.47252562916667
ice4cif_32qp_0fr_60fps_slow-preset_8t,92.62695042083334
ice4cif_22qp_0fr_60fps_slower-preset_8t,99.06831090625
ice4cif_27qp_0fr_60fps_slower-preset_8t,97.34019835208333
ice4cif_32qp_0fr_60fps_medium-preset_8t,92.51681320416667
ice4cif_22qp_0fr_60fps_fast-preset_8t,98.5231940125
ice4cif_32qp_0fr_60fps_fast-preset_8t,90.10490976458334
ice4cif_37qp_0fr_60fps_medium-preset_8t,85.14443643333334
ice4cif_27qp_0fr_60fps_faster-preset_8t,94.96304661666666
ice4cif_22qp_0fr_60fps_slow-preset_8t,98.97214290833334
ice4cif_37qp_0fr_60fps_faster-preset_8t,79.63712670416666
ice4cif_22qp_0fr_60fps_faster-preset_8t,98.26093747916667
