Picture Number:    0	 QP:   16  [ PSNR-Y: 34.78 dB,	PSNR-U: 45.03 dB,	PSNR-V: 46.61 dB,	MSE-Y: 21.65,	MSE-U: 2.04,	MSE-V: 1.42,	SSIM-Y: 0.96617,	SSIM-U: 0.97352,	SSIM-V: 0.98102 ]	  51524 bytes
Picture Number:    1	 QP:   27  [ PSNR-Y: 36.43 dB,	PSNR-U: 44.28 dB,	PSNR-V: 46.01 dB,	MSE-Y: 14.80,	MSE-U: 2.43,	MSE-V: 1.63,	SSIM-Y: 0.97381,	SSIM-U: 0.96949,	SSIM-V: 0.97869 ]	 160429 bytes
Picture Number:    2	 QP:   26  [ PSNR-Y: 36.94 dB,	PSNR-U: 44.07 dB,	PSNR-V: 45.86 dB,	MSE-Y: 13.16,	MSE-U: 2.55,	MSE-V: 1.69,	SSIM-Y: 0.97551,	SSIM-U: 0.96805,	SSIM-V: 0.97796 ]	      5 bytes
Picture Number:    3	 QP:   27  [ PSNR-Y: 35.52 dB,	PSNR-U: 44.00 dB,	PSNR-V: 45.89 dB,	MSE-Y: 18.24,	MSE-U: 2.59,	MSE-V: 1.67,	SSIM-Y: 0.96911,	SSIM-U: 0.96758,	SSIM-V: 0.97806 ]	   4214 bytes
Picture Number:    4	 QP:   25  [ PSNR-Y: 37.75 dB,	PSNR-U: 43.88 dB,	PSNR-V: 45.80 dB,	MSE-Y: 10.91,	MSE-U: 2.66,	MSE-V: 1.71,	SSIM-Y: 0.97878,	SSIM-U: 0.96660,	SSIM-V: 0.97760 ]	      5 bytes
Picture Number:    5	 QP:   27  [ PSNR-Y: 34.76 dB,	PSNR-U: 43.89 dB,	PSNR-V: 45.80 dB,	MSE-Y: 21.74,	MSE-U: 2.66,	MSE-V: 1.71,	SSIM-Y: 0.96436,	SSIM-U: 0.96674,	SSIM-V: 0.97759 ]	  16091 bytes
Picture Number:    6	 QP:   26  [ PSNR-Y: 35.28 dB,	PSNR-U: 43.88 dB,	PSNR-V: 45.80 dB,	MSE-Y: 19.28,	MSE-U: 2.66,	MSE-V: 1.71,	SSIM-Y: 0.96679,	SSIM-U: 0.96666,	SSIM-V: 0.97754 ]	      5 bytes
Picture Number:    7	 QP:   27  [ PSNR-Y: 35.40 dB,	PSNR-U: 44.31 dB,	PSNR-V: 46.10 dB,	MSE-Y: 18.75,	MSE-U: 2.41,	MSE-V: 1.60,	SSIM-Y: 0.96605,	SSIM-U: 0.96952,	SSIM-V: 0.97890 ]	   3122 bytes
Picture Number:    8	 QP:   22  [ PSNR-Y: 37.46 dB,	PSNR-U: 44.50 dB,	PSNR-V: 46.17 dB,	MSE-Y: 11.68,	MSE-U: 2.31,	MSE-V: 1.57,	SSIM-Y: 0.97519,	SSIM-U: 0.97069,	SSIM-V: 0.97925 ]	      5 bytes
Picture Number:    9	 QP:   27  [ PSNR-Y: 34.50 dB,	PSNR-U: 43.99 dB,	PSNR-V: 45.84 dB,	MSE-Y: 23.08,	MSE-U: 2.60,	MSE-V: 1.70,	SSIM-Y: 0.96103,	SSIM-U: 0.96721,	SSIM-V: 0.97784 ]	  36721 bytes
Picture Number:   10	 QP:   26  [ PSNR-Y: 34.95 dB,	PSNR-U: 44.05 dB,	PSNR-V: 45.99 dB,	MSE-Y: 20.78,	MSE-U: 2.56,	MSE-V: 1.64,	SSIM-Y: 0.96318,	SSIM-U: 0.96788,	SSIM-V: 0.97850 ]	      5 bytes
