Picture Number:    0	 QP:   23  [ PSNR-Y: 33.63 dB,	PSNR-U: 35.99 dB,	PSNR-V: 39.21 dB,	MSE-Y: 28.16,	MSE-U: 16.37,	MSE-V: 7.80,	SSIM-Y: 0.92364,	SSIM-U: 0.90307,	SSIM-V: 0.91040 ]	 151748 bytes
Picture Number:    1	 QP:   32  [ PSNR-Y: 34.41 dB,	PSNR-U: 36.28 dB,	PSNR-V: 39.38 dB,	MSE-Y: 23.55,	MSE-U: 15.32,	MSE-V: 7.49,	SSIM-Y: 0.93623,	SSIM-U: 0.90836,	SSIM-V: 0.91301 ]	 666455 bytes
Picture Number:    2	 QP:   31  [ PSNR-Y: 34.94 dB,	PSNR-U: 36.33 dB,	PSNR-V: 39.34 dB,	MSE-Y: 20.84,	MSE-U: 15.13,	MSE-V: 7.57,	SSIM-Y: 0.94274,	SSIM-U: 0.91054,	SSIM-V: 0.91306 ]	      5 bytes
Picture Number:    3	 QP:   32  [ PSNR-Y: 34.41 dB,	PSNR-U: 36.28 dB,	PSNR-V: 39.37 dB,	MSE-Y: 23.54,	MSE-U: 15.31,	MSE-V: 7.52,	SSIM-Y: 0.93678,	SSIM-U: 0.90969,	SSIM-V: 0.91302 ]	  21871 bytes
Picture Number:    4	 QP:   30  [ PSNR-Y: 35.52 dB,	PSNR-U: 36.81 dB,	PSNR-V: 39.53 dB,	MSE-Y: 18.24,	MSE-U: 13.55,	MSE-V: 7.25,	SSIM-Y: 0.94765,	SSIM-U: 0.91782,	SSIM-V: 0.91574 ]	      5 bytes
Picture Number:    5	 QP:   32  [ PSNR-Y: 34.49 dB,	PSNR-U: 36.31 dB,	PSNR-V: 39.36 dB,	MSE-Y: 23.12,	MSE-U: 15.19,	MSE-V: 7.54,	SSIM-Y: 0.93725,	SSIM-U: 0.90997,	SSIM-V: 0.91320 ]	  93880 bytes
Picture Number:    6	 QP:   31  [ PSNR-Y: 35.06 dB,	PSNR-U: 36.40 dB,	PSNR-V: 39.35 dB,	MSE-Y: 20.30,	MSE-U: 14.90,	MSE-V: 7.55,	SSIM-Y: 0.94406,	SSIM-U: 0.91183,	SSIM-V: 0.91352 ]	      5 bytes
Picture Number:    7	 QP:   32  [ PSNR-Y: 34.50 dB,	PSNR-U: 36.50 dB,	PSNR-V: 39.48 dB,	MSE-Y: 23.06,	MSE-U: 14.55,	MSE-V: 7.33,	SSIM-Y: 0.93727,	SSIM-U: 0.91293,	SSIM-V: 0.91528 ]	  19079 bytes
Picture Number:    8	 QP:   28  [ PSNR-Y: 35.87 dB,	PSNR-U: 37.24 dB,	PSNR-V: 39.69 dB,	MSE-Y: 16.83,	MSE-U: 12.26,	MSE-V: 6.98,	SSIM-Y: 0.95202,	SSIM-U: 0.92512,	SSIM-V: 0.91919 ]	      5 bytes
Picture Number:    9	 QP:   32  [ PSNR-Y: 34.36 dB,	PSNR-U: 36.41 dB,	PSNR-V: 39.41 dB,	MSE-Y: 23.85,	MSE-U: 14.86,	MSE-V: 7.45,	SSIM-Y: 0.93642,	SSIM-U: 0.91213,	SSIM-V: 0.91387 ]	 222019 bytes
Picture Number:   10	 QP:   31  [ PSNR-Y: 34.95 dB,	PSNR-U: 36.36 dB,	PSNR-V: 39.32 dB,	MSE-Y: 20.80,	MSE-U: 15.05,	MSE-V: 7.61,	SSIM-Y: 0.94252,	SSIM-U: 0.91111,	SSIM-V: 0.91271 ]	      5 bytes
