codec,video,resolution,fps,number of frames,qp,time(s)
VVENC,icecif,352x288,30,0,32,32.802
VVENC,icecif,352x288,30,0,22,73.835
VVENC,icecif,352x288,30,0,22,70.639
VVENC,icecif,352x288,30,0,27,49.771
VVENC,icecif,352x288,30,0,27,106.147
VVENC,icecif,352x288,30,0,37,22.44
VVENC,icecif,352x288,30,0,32,32.238
VVENC,icecif,352x288,30,0,22,166.397
VVENC,icecif,352x288,30,0,37,22.123
VVENC,icecif,352x288,30,0,32,68.298
VVENC,icecif,352x288,30,0,27,48.481
