Picture Number:    0	 QP:   17  [ PSNR-Y: 33.63 dB,	PSNR-U: 43.96 dB,	PSNR-V: 45.19 dB,	MSE-Y: 28.19,	MSE-U: 2.61,	MSE-V: 1.97,	SSIM-Y: 0.96947,	SSIM-U: 0.96594,	SSIM-V: 0.97326 ]	  23366 bytes
Picture Number:    1	 QP:   27  [ PSNR-Y: 35.76 dB,	PSNR-U: 43.64 dB,	PSNR-V: 44.95 dB,	MSE-Y: 17.26,	MSE-U: 2.81,	MSE-V: 2.08,	SSIM-Y: 0.97951,	SSIM-U: 0.96415,	SSIM-V: 0.97225 ]	  71373 bytes
Picture Number:    2	 QP:   26  [ PSNR-Y: 36.11 dB,	PSNR-U: 43.47 dB,	PSNR-V: 44.83 dB,	MSE-Y: 15.92,	MSE-U: 2.92,	MSE-V: 2.14,	SSIM-Y: 0.98063,	SSIM-U: 0.96281,	SSIM-V: 0.97143 ]	      5 bytes
Picture Number:    3	 QP:   27  [ PSNR-Y: 35.58 dB,	PSNR-U: 43.50 dB,	PSNR-V: 44.83 dB,	MSE-Y: 17.98,	MSE-U: 2.91,	MSE-V: 2.14,	SSIM-Y: 0.97844,	SSIM-U: 0.96314,	SSIM-V: 0.97147 ]	   4022 bytes
Picture Number:    4	 QP:   25  [ PSNR-Y: 37.19 dB,	PSNR-U: 43.59 dB,	PSNR-V: 45.01 dB,	MSE-Y: 12.41,	MSE-U: 2.84,	MSE-V: 2.05,	SSIM-Y: 0.98334,	SSIM-U: 0.96433,	SSIM-V: 0.97269 ]	      5 bytes
Picture Number:    5	 QP:   27  [ PSNR-Y: 34.69 dB,	PSNR-U: 43.46 dB,	PSNR-V: 44.87 dB,	MSE-Y: 22.11,	MSE-U: 2.93,	MSE-V: 2.12,	SSIM-Y: 0.97329,	SSIM-U: 0.96302,	SSIM-V: 0.97192 ]	   9681 bytes
Picture Number:    6	 QP:   26  [ PSNR-Y: 34.99 dB,	PSNR-U: 43.53 dB,	PSNR-V: 44.82 dB,	MSE-Y: 20.59,	MSE-U: 2.89,	MSE-V: 2.14,	SSIM-Y: 0.97542,	SSIM-U: 0.96385,	SSIM-V: 0.97150 ]	      5 bytes
Picture Number:    7	 QP:   27  [ PSNR-Y: 35.71 dB,	PSNR-U: 43.67 dB,	PSNR-V: 44.97 dB,	MSE-Y: 17.47,	MSE-U: 2.79,	MSE-V: 2.07,	SSIM-Y: 0.97842,	SSIM-U: 0.96490,	SSIM-V: 0.97250 ]	   4253 bytes
Picture Number:    8	 QP:   22  [ PSNR-Y: 37.97 dB,	PSNR-U: 43.47 dB,	PSNR-V: 44.97 dB,	MSE-Y: 10.38,	MSE-U: 2.92,	MSE-V: 2.07,	SSIM-Y: 0.98681,	SSIM-U: 0.96298,	SSIM-V: 0.97235 ]	      5 bytes
Picture Number:    9	 QP:   27  [ PSNR-Y: 33.98 dB,	PSNR-U: 43.62 dB,	PSNR-V: 45.01 dB,	MSE-Y: 26.02,	MSE-U: 2.83,	MSE-V: 2.05,	SSIM-Y: 0.97107,	SSIM-U: 0.96414,	SSIM-V: 0.97278 ]	  15624 bytes
Picture Number:   10	 QP:   26  [ PSNR-Y: 34.83 dB,	PSNR-U: 43.66 dB,	PSNR-V: 45.06 dB,	MSE-Y: 21.39,	MSE-U: 2.80,	MSE-V: 2.03,	SSIM-Y: 0.97379,	SSIM-U: 0.96462,	SSIM-V: 0.97311 ]	      5 bytes
