Picture Number:    0	 QP:    6  [ PSNR-Y: 42.49 dB,	PSNR-U: 49.41 dB,	PSNR-V: 49.51 dB,	MSE-Y: 3.66,	MSE-U: 0.74,	MSE-V: 0.73,	SSIM-Y: 0.97450,	SSIM-U: 0.99126,	SSIM-V: 0.99161 ]	  35153 bytes
Picture Number:    1	 QP:   27  [ PSNR-Y: 42.39 dB,	PSNR-U: 49.33 dB,	PSNR-V: 49.56 dB,	MSE-Y: 3.75,	MSE-U: 0.76,	MSE-V: 0.72,	SSIM-Y: 0.97531,	SSIM-U: 0.99117,	SSIM-V: 0.99164 ]	  65179 bytes
Picture Number:    2	 QP:   25  [ PSNR-Y: 42.74 dB,	PSNR-U: 49.22 dB,	PSNR-V: 49.52 dB,	MSE-Y: 3.46,	MSE-U: 0.78,	MSE-V: 0.73,	SSIM-Y: 0.97565,	SSIM-U: 0.99086,	SSIM-V: 0.99144 ]	      5 bytes
Picture Number:    3	 QP:   27  [ PSNR-Y: 42.16 dB,	PSNR-U: 49.21 dB,	PSNR-V: 49.52 dB,	MSE-Y: 3.96,	MSE-U: 0.78,	MSE-V: 0.73,	SSIM-Y: 0.97402,	SSIM-U: 0.99081,	SSIM-V: 0.99136 ]	   1686 bytes
Picture Number:    4	 QP:   23  [ PSNR-Y: 42.94 dB,	PSNR-U: 49.07 dB,	PSNR-V: 49.44 dB,	MSE-Y: 3.31,	MSE-U: 0.81,	MSE-V: 0.74,	SSIM-Y: 0.97521,	SSIM-U: 0.99059,	SSIM-V: 0.99123 ]	      5 bytes
Picture Number:    5	 QP:   27  [ PSNR-Y: 42.24 dB,	PSNR-U: 49.24 dB,	PSNR-V: 49.42 dB,	MSE-Y: 3.88,	MSE-U: 0.77,	MSE-V: 0.74,	SSIM-Y: 0.97507,	SSIM-U: 0.99108,	SSIM-V: 0.99161 ]	   5763 bytes
Picture Number:    6	 QP:   25  [ PSNR-Y: 42.61 dB,	PSNR-U: 49.04 dB,	PSNR-V: 49.34 dB,	MSE-Y: 3.56,	MSE-U: 0.81,	MSE-V: 0.76,	SSIM-Y: 0.97489,	SSIM-U: 0.99070,	SSIM-V: 0.99136 ]	      5 bytes
Picture Number:    7	 QP:   27  [ PSNR-Y: 42.22 dB,	PSNR-U: 49.04 dB,	PSNR-V: 49.23 dB,	MSE-Y: 3.90,	MSE-U: 0.81,	MSE-V: 0.78,	SSIM-Y: 0.97454,	SSIM-U: 0.99076,	SSIM-V: 0.99143 ]	   1616 bytes
Picture Number:    8	 QP:   19  [ PSNR-Y: 43.91 dB,	PSNR-U: 49.06 dB,	PSNR-V: 49.48 dB,	MSE-Y: 2.64,	MSE-U: 0.81,	MSE-V: 0.73,	SSIM-Y: 0.97888,	SSIM-U: 0.99054,	SSIM-V: 0.99152 ]	      5 bytes
Picture Number:    9	 QP:   27  [ PSNR-Y: 42.23 dB,	PSNR-U: 49.04 dB,	PSNR-V: 49.47 dB,	MSE-Y: 3.89,	MSE-U: 0.81,	MSE-V: 0.74,	SSIM-Y: 0.97545,	SSIM-U: 0.99055,	SSIM-V: 0.99173 ]	  13124 bytes
Picture Number:   10	 QP:   25  [ PSNR-Y: 42.75 dB,	PSNR-U: 49.08 dB,	PSNR-V: 49.50 dB,	MSE-Y: 3.45,	MSE-U: 0.80,	MSE-V: 0.73,	SSIM-Y: 0.97670,	SSIM-U: 0.99067,	SSIM-V: 0.99181 ]	      5 bytes
