Picture Number:    0	 QP:   11  [ PSNR-Y: 41.68 dB,	PSNR-U: 48.12 dB,	PSNR-V: 48.28 dB,	MSE-Y: 4.42,	MSE-U: 1.00,	MSE-V: 0.97,	SSIM-Y: 0.97046,	SSIM-U: 0.98868,	SSIM-V: 0.98974 ]	  22832 bytes
Picture Number:    1	 QP:   37  [ PSNR-Y: 40.79 dB,	PSNR-U: 48.09 dB,	PSNR-V: 48.18 dB,	MSE-Y: 5.42,	MSE-U: 1.01,	MSE-V: 0.99,	SSIM-Y: 0.96948,	SSIM-U: 0.98853,	SSIM-V: 0.98954 ]	  39325 bytes
Picture Number:    2	 QP:   35  [ PSNR-Y: 40.77 dB,	PSNR-U: 48.00 dB,	PSNR-V: 48.27 dB,	MSE-Y: 5.45,	MSE-U: 1.03,	MSE-V: 0.97,	SSIM-Y: 0.96868,	SSIM-U: 0.98827,	SSIM-V: 0.98939 ]	      5 bytes
Picture Number:    3	 QP:   37  [ PSNR-Y: 40.29 dB,	PSNR-U: 47.98 dB,	PSNR-V: 48.11 dB,	MSE-Y: 6.08,	MSE-U: 1.04,	MSE-V: 1.00,	SSIM-Y: 0.96708,	SSIM-U: 0.98810,	SSIM-V: 0.98913 ]	    821 bytes
Picture Number:    4	 QP:   33  [ PSNR-Y: 40.77 dB,	PSNR-U: 47.83 dB,	PSNR-V: 48.25 dB,	MSE-Y: 5.44,	MSE-U: 1.07,	MSE-V: 0.97,	SSIM-Y: 0.96736,	SSIM-U: 0.98778,	SSIM-V: 0.98940 ]	      5 bytes
Picture Number:    5	 QP:   37  [ PSNR-Y: 40.33 dB,	PSNR-U: 47.99 dB,	PSNR-V: 48.11 dB,	MSE-Y: 6.02,	MSE-U: 1.03,	MSE-V: 1.00,	SSIM-Y: 0.96791,	SSIM-U: 0.98853,	SSIM-V: 0.98972 ]	   2564 bytes
Picture Number:    6	 QP:   35  [ PSNR-Y: 40.50 dB,	PSNR-U: 47.82 dB,	PSNR-V: 48.03 dB,	MSE-Y: 5.79,	MSE-U: 1.07,	MSE-V: 1.02,	SSIM-Y: 0.96681,	SSIM-U: 0.98799,	SSIM-V: 0.98939 ]	      5 bytes
Picture Number:    7	 QP:   37  [ PSNR-Y: 40.43 dB,	PSNR-U: 47.88 dB,	PSNR-V: 48.03 dB,	MSE-Y: 5.88,	MSE-U: 1.06,	MSE-V: 1.02,	SSIM-Y: 0.96748,	SSIM-U: 0.98818,	SSIM-V: 0.98947 ]	    767 bytes
Picture Number:    8	 QP:   29  [ PSNR-Y: 41.68 dB,	PSNR-U: 47.78 dB,	PSNR-V: 48.11 dB,	MSE-Y: 4.41,	MSE-U: 1.09,	MSE-V: 1.01,	SSIM-Y: 0.97090,	SSIM-U: 0.98776,	SSIM-V: 0.98948 ]	      5 bytes
Picture Number:    9	 QP:   37  [ PSNR-Y: 40.35 dB,	PSNR-U: 47.82 dB,	PSNR-V: 48.05 dB,	MSE-Y: 6.01,	MSE-U: 1.08,	MSE-V: 1.02,	SSIM-Y: 0.96832,	SSIM-U: 0.98787,	SSIM-V: 0.98960 ]	   6071 bytes
Picture Number:   10	 QP:   35  [ PSNR-Y: 40.50 dB,	PSNR-U: 47.80 dB,	PSNR-V: 48.02 dB,	MSE-Y: 5.80,	MSE-U: 1.08,	MSE-V: 1.03,	SSIM-Y: 0.96863,	SSIM-U: 0.98793,	SSIM-V: 0.98976 ]	      5 bytes
