Picture Number:   20	 QP:   19  [ PSNR-Y: 44.66 dB,	PSNR-U: 50.42 dB,	PSNR-V: 51.13 dB,	MSE-Y: 2.22,	MSE-U: 0.59,	MSE-V: 0.50,	SSIM-Y: 0.98160,	SSIM-U: 0.99314,	SSIM-V: 0.99406 ]	      5 bytes
Picture Number:   21	 QP:   22  [ PSNR-Y: 43.90 dB,	PSNR-U: 50.44 dB,	PSNR-V: 51.16 dB,	MSE-Y: 2.65,	MSE-U: 0.59,	MSE-V: 0.50,	SSIM-Y: 0.98011,	SSIM-U: 0.99314,	SSIM-V: 0.99408 ]	   6927 bytes
Picture Number:   22	 QP:   21  [ PSNR-Y: 44.33 dB,	PSNR-U: 50.54 dB,	PSNR-V: 51.20 dB,	MSE-Y: 2.40,	MSE-U: 0.57,	MSE-V: 0.49,	SSIM-Y: 0.98091,	SSIM-U: 0.99330,	SSIM-V: 0.99421 ]	      5 bytes
Picture Number:   23	 QP:   22  [ PSNR-Y: 43.91 dB,	PSNR-U: 50.58 dB,	PSNR-V: 51.07 dB,	MSE-Y: 2.64,	MSE-U: 0.57,	MSE-V: 0.51,	SSIM-Y: 0.98029,	SSIM-U: 0.99335,	SSIM-V: 0.99401 ]	   2337 bytes
Picture Number:   24	 QP:   15  [ PSNR-Y: 45.34 dB,	PSNR-U: 50.71 dB,	PSNR-V: 51.16 dB,	MSE-Y: 1.90,	MSE-U: 0.55,	MSE-V: 0.50,	SSIM-Y: 0.98201,	SSIM-U: 0.99351,	SSIM-V: 0.99410 ]	      5 bytes
Picture Number:   25	 QP:   22  [ PSNR-Y: 43.99 dB,	PSNR-U: 50.76 dB,	PSNR-V: 51.29 dB,	MSE-Y: 2.59,	MSE-U: 0.55,	MSE-V: 0.48,	SSIM-Y: 0.98039,	SSIM-U: 0.99355,	SSIM-V: 0.99429 ]	  13958 bytes
Picture Number:   26	 QP:   20  [ PSNR-Y: 44.29 dB,	PSNR-U: 50.68 dB,	PSNR-V: 51.15 dB,	MSE-Y: 2.42,	MSE-U: 0.56,	MSE-V: 0.50,	SSIM-Y: 0.98001,	SSIM-U: 0.99350,	SSIM-V: 0.99405 ]	      5 bytes
Picture Number:   27	 QP:   22  [ PSNR-Y: 43.95 dB,	PSNR-U: 50.96 dB,	PSNR-V: 51.27 dB,	MSE-Y: 2.62,	MSE-U: 0.52,	MSE-V: 0.49,	SSIM-Y: 0.98024,	SSIM-U: 0.99383,	SSIM-V: 0.99426 ]	   2210 bytes
Picture Number:   28	 QP:   18  [ PSNR-Y: 44.88 dB,	PSNR-U: 50.97 dB,	PSNR-V: 51.43 dB,	MSE-Y: 2.12,	MSE-U: 0.52,	MSE-V: 0.47,	SSIM-Y: 0.98202,	SSIM-U: 0.99395,	SSIM-V: 0.99439 ]	      5 bytes
Picture Number:   29	 QP:   22  [ PSNR-Y: 43.90 dB,	PSNR-U: 50.92 dB,	PSNR-V: 51.37 dB,	MSE-Y: 2.65,	MSE-U: 0.53,	MSE-V: 0.47,	SSIM-Y: 0.98043,	SSIM-U: 0.99390,	SSIM-V: 0.99439 ]	   7319 bytes
Picture Number:   30	 QP:   20  [ PSNR-Y: 44.49 dB,	PSNR-U: 51.10 dB,	PSNR-V: 51.37 dB,	MSE-Y: 2.31,	MSE-U: 0.50,	MSE-V: 0.47,	SSIM-Y: 0.98165,	SSIM-U: 0.99407,	SSIM-V: 0.99435 ]	      5 bytes
Picture Number:   31	 QP:   22  [ PSNR-Y: 44.04 dB,	PSNR-U: 51.15 dB,	PSNR-V: 51.55 dB,	MSE-Y: 2.57,	MSE-U: 0.50,	MSE-V: 0.46,	SSIM-Y: 0.98096,	SSIM-U: 0.99410,	SSIM-V: 0.99452 ]	   2456 bytes
Picture Number:   32	 QP:    5  [ PSNR-Y: 44.37 dB,	PSNR-U: 51.41 dB,	PSNR-V: 51.81 dB,	MSE-Y: 2.38,	MSE-U: 0.47,	MSE-V: 0.43,	SSIM-Y: 0.98111,	SSIM-U: 0.99429,	SSIM-V: 0.99467 ]	      5 bytes
Picture Number:   33	 QP:   22  [ PSNR-Y: 43.83 dB,	PSNR-U: 51.18 dB,	PSNR-V: 51.47 dB,	MSE-Y: 2.69,	MSE-U: 0.50,	MSE-V: 0.46,	SSIM-Y: 0.98005,	SSIM-U: 0.99399,	SSIM-V: 0.99426 ]	  73772 bytes
Picture Number:   34	 QP:   20  [ PSNR-Y: 44.25 dB,	PSNR-U: 50.97 dB,	PSNR-V: 51.30 dB,	MSE-Y: 2.44,	MSE-U: 0.52,	MSE-V: 0.48,	SSIM-Y: 0.98022,	SSIM-U: 0.99359,	SSIM-V: 0.99381 ]	      5 bytes
Picture Number:   35	 QP:   22  [ PSNR-Y: 43.65 dB,	PSNR-U: 50.86 dB,	PSNR-V: 51.30 dB,	MSE-Y: 2.80,	MSE-U: 0.53,	MSE-V: 0.48,	SSIM-Y: 0.97932,	SSIM-U: 0.99350,	SSIM-V: 0.99385 ]	   2282 bytes
Picture Number:   36	 QP:   18  [ PSNR-Y: 44.58 dB,	PSNR-U: 50.89 dB,	PSNR-V: 51.30 dB,	MSE-Y: 2.26,	MSE-U: 0.53,	MSE-V: 0.48,	SSIM-Y: 0.98134,	SSIM-U: 0.99349,	SSIM-V: 0.99386 ]	      5 bytes
Picture Number:   37	 QP:   22  [ PSNR-Y: 43.60 dB,	PSNR-U: 50.68 dB,	PSNR-V: 51.15 dB,	MSE-Y: 2.84,	MSE-U: 0.56,	MSE-V: 0.50,	SSIM-Y: 0.97913,	SSIM-U: 0.99329,	SSIM-V: 0.99372 ]	   8030 bytes
Picture Number:   38	 QP:   20  [ PSNR-Y: 44.24 dB,	PSNR-U: 50.84 dB,	PSNR-V: 51.32 dB,	MSE-Y: 2.45,	MSE-U: 0.54,	MSE-V: 0.48,	SSIM-Y: 0.98080,	SSIM-U: 0.99356,	SSIM-V: 0.99410 ]	      5 bytes
Picture Number:   39	 QP:   22  [ PSNR-Y: 43.79 dB,	PSNR-U: 51.03 dB,	PSNR-V: 51.37 dB,	MSE-Y: 2.72,	MSE-U: 0.51,	MSE-V: 0.47,	SSIM-Y: 0.98046,	SSIM-U: 0.99379,	SSIM-V: 0.99429 ]	   2622 bytes
Picture Number:   40	 QP:   15  [ PSNR-Y: 45.43 dB,	PSNR-U: 51.23 dB,	PSNR-V: 51.62 dB,	MSE-Y: 1.86,	MSE-U: 0.49,	MSE-V: 0.45,	SSIM-Y: 0.98332,	SSIM-U: 0.99400,	SSIM-V: 0.99440 ]	      5 bytes
Picture Number:   41	 QP:   22  [ PSNR-Y: 43.49 dB,	PSNR-U: 50.42 dB,	PSNR-V: 50.90 dB,	MSE-Y: 2.91,	MSE-U: 0.59,	MSE-V: 0.53,	SSIM-Y: 0.97767,	SSIM-U: 0.99285,	SSIM-V: 0.99346 ]	  14813 bytes
Picture Number:   42	 QP:   21  [ PSNR-Y: 44.13 dB,	PSNR-U: 50.76 dB,	PSNR-V: 51.10 dB,	MSE-Y: 2.51,	MSE-U: 0.55,	MSE-V: 0.51,	SSIM-Y: 0.97976,	SSIM-U: 0.99345,	SSIM-V: 0.99385 ]	      5 bytes
Picture Number:   43	 QP:   22  [ PSNR-Y: 43.78 dB,	PSNR-U: 50.91 dB,	PSNR-V: 51.27 dB,	MSE-Y: 2.72,	MSE-U: 0.53,	MSE-V: 0.49,	SSIM-Y: 0.97945,	SSIM-U: 0.99372,	SSIM-V: 0.99412 ]	   2581 bytes
Picture Number:   44	 QP:   19  [ PSNR-Y: 44.80 dB,	PSNR-U: 51.14 dB,	PSNR-V: 51.39 dB,	MSE-Y: 2.15,	MSE-U: 0.50,	MSE-V: 0.47,	SSIM-Y: 0.98208,	SSIM-U: 0.99402,	SSIM-V: 0.99432 ]	      5 bytes
Picture Number:   45	 QP:   22  [ PSNR-Y: 44.00 dB,	PSNR-U: 51.00 dB,	PSNR-V: 51.37 dB,	MSE-Y: 2.59,	MSE-U: 0.52,	MSE-V: 0.47,	SSIM-Y: 0.98023,	SSIM-U: 0.99390,	SSIM-V: 0.99427 ]	   7327 bytes
Picture Number:   46	 QP:   21  [ PSNR-Y: 44.56 dB,	PSNR-U: 51.09 dB,	PSNR-V: 51.53 dB,	MSE-Y: 2.28,	MSE-U: 0.51,	MSE-V: 0.46,	SSIM-Y: 0.98185,	SSIM-U: 0.99401,	SSIM-V: 0.99444 ]	      5 bytes
Picture Number:   47	 QP:   22  [ PSNR-Y: 44.18 dB,	PSNR-U: 51.19 dB,	PSNR-V: 51.58 dB,	MSE-Y: 2.48,	MSE-U: 0.49,	MSE-V: 0.45,	SSIM-Y: 0.98116,	SSIM-U: 0.99412,	SSIM-V: 0.99453 ]	   2177 bytes
Picture Number:   48	 QP:    9  [ PSNR-Y: 44.61 dB,	PSNR-U: 51.21 dB,	PSNR-V: 51.62 dB,	MSE-Y: 2.25,	MSE-U: 0.49,	MSE-V: 0.45,	SSIM-Y: 0.98084,	SSIM-U: 0.99407,	SSIM-V: 0.99447 ]	      5 bytes
Picture Number:   49	 QP:   22  [ PSNR-Y: 44.17 dB,	PSNR-U: 51.07 dB,	PSNR-V: 51.54 dB,	MSE-Y: 2.49,	MSE-U: 0.51,	MSE-V: 0.46,	SSIM-Y: 0.98076,	SSIM-U: 0.99398,	SSIM-V: 0.99444 ]	  23822 bytes
Picture Number:   50	 QP:   21  [ PSNR-Y: 44.42 dB,	PSNR-U: 50.87 dB,	PSNR-V: 51.30 dB,	MSE-Y: 2.35,	MSE-U: 0.53,	MSE-V: 0.48,	SSIM-Y: 0.98078,	SSIM-U: 0.99375,	SSIM-V: 0.99411 ]	      5 bytes
Picture Number:   51	 QP:   22  [ PSNR-Y: 43.97 dB,	PSNR-U: 51.00 dB,	PSNR-V: 51.41 dB,	MSE-Y: 2.60,	MSE-U: 0.52,	MSE-V: 0.47,	SSIM-Y: 0.98027,	SSIM-U: 0.99393,	SSIM-V: 0.99431 ]	   2108 bytes
Picture Number:   52	 QP:   19  [ PSNR-Y: 44.67 dB,	PSNR-U: 50.87 dB,	PSNR-V: 51.28 dB,	MSE-Y: 2.22,	MSE-U: 0.53,	MSE-V: 0.48,	SSIM-Y: 0.98117,	SSIM-U: 0.99380,	SSIM-V: 0.99408 ]	      5 bytes
Picture Number:   53	 QP:   22  [ PSNR-Y: 43.85 dB,	PSNR-U: 50.96 dB,	PSNR-V: 51.34 dB,	MSE-Y: 2.68,	MSE-U: 0.52,	MSE-V: 0.48,	SSIM-Y: 0.97947,	SSIM-U: 0.99389,	SSIM-V: 0.99416 ]	   6482 bytes
Picture Number:   54	 QP:   21  [ PSNR-Y: 44.32 dB,	PSNR-U: 51.02 dB,	PSNR-V: 51.44 dB,	MSE-Y: 2.41,	MSE-U: 0.51,	MSE-V: 0.47,	SSIM-Y: 0.98032,	SSIM-U: 0.99398,	SSIM-V: 0.99431 ]	      5 bytes
Picture Number:   55	 QP:   22  [ PSNR-Y: 43.96 dB,	PSNR-U: 51.06 dB,	PSNR-V: 51.45 dB,	MSE-Y: 2.62,	MSE-U: 0.51,	MSE-V: 0.47,	SSIM-Y: 0.97976,	SSIM-U: 0.99401,	SSIM-V: 0.99433 ]	   1995 bytes
Picture Number:   56	 QP:   15  [ PSNR-Y: 45.61 dB,	PSNR-U: 51.45 dB,	PSNR-V: 51.71 dB,	MSE-Y: 1.79,	MSE-U: 0.47,	MSE-V: 0.44,	SSIM-Y: 0.98326,	SSIM-U: 0.99444,	SSIM-V: 0.99466 ]	      5 bytes
Picture Number:   57	 QP:   22  [ PSNR-Y: 44.03 dB,	PSNR-U: 51.22 dB,	PSNR-V: 51.58 dB,	MSE-Y: 2.57,	MSE-U: 0.49,	MSE-V: 0.45,	SSIM-Y: 0.98031,	SSIM-U: 0.99421,	SSIM-V: 0.99459 ]	  12027 bytes
Picture Number:   58	 QP:   21  [ PSNR-Y: 44.52 dB,	PSNR-U: 51.41 dB,	PSNR-V: 51.63 dB,	MSE-Y: 2.30,	MSE-U: 0.47,	MSE-V: 0.45,	SSIM-Y: 0.98120,	SSIM-U: 0.99444,	SSIM-V: 0.99461 ]	      5 bytes
Picture Number:   59	 QP:   22  [ PSNR-Y: 44.19 dB,	PSNR-U: 51.33 dB,	PSNR-V: 51.66 dB,	MSE-Y: 2.48,	MSE-U: 0.48,	MSE-V: 0.44,	SSIM-Y: 0.98067,	SSIM-U: 0.99439,	SSIM-V: 0.99475 ]	   2021 bytes
Picture Number:   60	 QP:   19  [ PSNR-Y: 45.06 dB,	PSNR-U: 51.52 dB,	PSNR-V: 51.79 dB,	MSE-Y: 2.03,	MSE-U: 0.46,	MSE-V: 0.43,	SSIM-Y: 0.98235,	SSIM-U: 0.99458,	SSIM-V: 0.99477 ]	      5 bytes
Picture Number:   61	 QP:   22  [ PSNR-Y: 44.25 dB,	PSNR-U: 51.75 dB,	PSNR-V: 51.92 dB,	MSE-Y: 2.45,	MSE-U: 0.43,	MSE-V: 0.42,	SSIM-Y: 0.98098,	SSIM-U: 0.99482,	SSIM-V: 0.99490 ]	   5810 bytes
Picture Number:   62	 QP:   21  [ PSNR-Y: 44.77 dB,	PSNR-U: 51.87 dB,	PSNR-V: 52.14 dB,	MSE-Y: 2.17,	MSE-U: 0.42,	MSE-V: 0.40,	SSIM-Y: 0.98185,	SSIM-U: 0.99484,	SSIM-V: 0.99494 ]	      5 bytes
Picture Number:   63	 QP:   22  [ PSNR-Y: 44.47 dB,	PSNR-U: 52.07 dB,	PSNR-V: 52.23 dB,	MSE-Y: 2.32,	MSE-U: 0.40,	MSE-V: 0.39,	SSIM-Y: 0.98133,	SSIM-U: 0.99504,	SSIM-V: 0.99511 ]	   1750 bytes
Picture Number:   64	 QP:    4  [ PSNR-Y: 44.89 dB,	PSNR-U: 52.27 dB,	PSNR-V: 52.29 dB,	MSE-Y: 2.11,	MSE-U: 0.39,	MSE-V: 0.38,	SSIM-Y: 0.98144,	SSIM-U: 0.99525,	SSIM-V: 0.99518 ]	      5 bytes
Picture Number:   65	 QP:   22  [ PSNR-Y: 44.48 dB,	PSNR-U: 52.02 dB,	PSNR-V: 52.17 dB,	MSE-Y: 2.32,	MSE-U: 0.41,	MSE-V: 0.39,	SSIM-Y: 0.98114,	SSIM-U: 0.99500,	SSIM-V: 0.99522 ]	  60645 bytes
Picture Number:   66	 QP:   21  [ PSNR-Y: 44.69 dB,	PSNR-U: 51.64 dB,	PSNR-V: 51.99 dB,	MSE-Y: 2.21,	MSE-U: 0.45,	MSE-V: 0.41,	SSIM-Y: 0.98121,	SSIM-U: 0.99464,	SSIM-V: 0.99491 ]	      5 bytes
