Picture Number:    0	 QP:    9  [ PSNR-Y: 30.77 dB,	PSNR-U: 43.99 dB,	PSNR-V: 43.83 dB,	MSE-Y: 54.46,	MSE-U: 2.60,	MSE-V: 2.69,	SSIM-Y: 0.83038,	SSIM-U: 0.98326,	SSIM-V: 0.96930 ]	 2216874 bytes
Picture Number:    1	 QP:   22  [ PSNR-Y: 35.93 dB,	PSNR-U: 35.35 dB,	PSNR-V: 38.33 dB,	MSE-Y: 16.58,	MSE-U: 18.98,	MSE-V: 9.55,	SSIM-Y: 0.91730,	SSIM-U: 0.86902,	SSIM-V: 0.89410 ]	 14067192 bytes
Picture Number:    2	 QP:   21  [ PSNR-Y: 36.42 dB,	PSNR-U: 35.61 dB,	PSNR-V: 38.43 dB,	MSE-Y: 14.82,	MSE-U: 17.87,	MSE-V: 9.34,	SSIM-Y: 0.92609,	SSIM-U: 0.87967,	SSIM-V: 0.89767 ]	      5 bytes
Picture Number:    3	 QP:   22  [ PSNR-Y: 35.90 dB,	PSNR-U: 35.48 dB,	PSNR-V: 38.35 dB,	MSE-Y: 16.71,	MSE-U: 18.40,	MSE-V: 9.50,	SSIM-Y: 0.91727,	SSIM-U: 0.87320,	SSIM-V: 0.89437 ]	 1337200 bytes
Picture Number:    4	 QP:   19  [ PSNR-Y: 37.16 dB,	PSNR-U: 36.49 dB,	PSNR-V: 38.78 dB,	MSE-Y: 12.52,	MSE-U: 14.61,	MSE-V: 8.62,	SSIM-Y: 0.93778,	SSIM-U: 0.90258,	SSIM-V: 0.90523 ]	      5 bytes
Picture Number:    5	 QP:   22  [ PSNR-Y: 35.90 dB,	PSNR-U: 35.57 dB,	PSNR-V: 38.43 dB,	MSE-Y: 16.70,	MSE-U: 18.04,	MSE-V: 9.33,	SSIM-Y: 0.91671,	SSIM-U: 0.87409,	SSIM-V: 0.89547 ]	 2868846 bytes
Picture Number:    6	 QP:   21  [ PSNR-Y: 36.55 dB,	PSNR-U: 36.17 dB,	PSNR-V: 38.67 dB,	MSE-Y: 14.39,	MSE-U: 15.72,	MSE-V: 8.84,	SSIM-Y: 0.92864,	SSIM-U: 0.89028,	SSIM-V: 0.90170 ]	      5 bytes
Picture Number:    7	 QP:   22  [ PSNR-Y: 35.91 dB,	PSNR-U: 35.59 dB,	PSNR-V: 38.45 dB,	MSE-Y: 16.66,	MSE-U: 17.96,	MSE-V: 9.30,	SSIM-Y: 0.91641,	SSIM-U: 0.87355,	SSIM-V: 0.89599 ]	 1310275 bytes
Picture Number:    8	 QP:   16  [ PSNR-Y: 38.82 dB,	PSNR-U: 38.06 dB,	PSNR-V: 40.06 dB,	MSE-Y: 8.53,	MSE-U: 10.16,	MSE-V: 6.41,	SSIM-Y: 0.95672,	SSIM-U: 0.93140,	SSIM-V: 0.92885 ]	      5 bytes
Picture Number:    9	 QP:   22  [ PSNR-Y: 35.98 dB,	PSNR-U: 35.61 dB,	PSNR-V: 38.35 dB,	MSE-Y: 16.42,	MSE-U: 17.86,	MSE-V: 9.51,	SSIM-Y: 0.91958,	SSIM-U: 0.87755,	SSIM-V: 0.89470 ]	 4984354 bytes
Picture Number:   10	 QP:   21  [ PSNR-Y: 36.53 dB,	PSNR-U: 36.20 dB,	PSNR-V: 38.61 dB,	MSE-Y: 14.46,	MSE-U: 15.59,	MSE-V: 8.96,	SSIM-Y: 0.92972,	SSIM-U: 0.89362,	SSIM-V: 0.90095 ]	      5 bytes
Picture Number:   11	 QP:   22  [ PSNR-Y: 35.97 dB,	PSNR-U: 35.66 dB,	PSNR-V: 38.41 dB,	MSE-Y: 16.45,	MSE-U: 17.68,	MSE-V: 9.37,	SSIM-Y: 0.91901,	SSIM-U: 0.87766,	SSIM-V: 0.89600 ]	 1395882 bytes
Picture Number:   12	 QP:   19  [ PSNR-Y: 37.30 dB,	PSNR-U: 36.98 dB,	PSNR-V: 38.88 dB,	MSE-Y: 12.10,	MSE-U: 13.02,	MSE-V: 8.41,	SSIM-Y: 0.94207,	SSIM-U: 0.91210,	SSIM-V: 0.90705 ]	      5 bytes
Picture Number:   13	 QP:   22  [ PSNR-Y: 35.94 dB,	PSNR-U: 35.63 dB,	PSNR-V: 38.37 dB,	MSE-Y: 16.56,	MSE-U: 17.79,	MSE-V: 9.47,	SSIM-Y: 0.91874,	SSIM-U: 0.87807,	SSIM-V: 0.89514 ]	 3049715 bytes
Picture Number:   14	 QP:   21  [ PSNR-Y: 36.51 dB,	PSNR-U: 36.24 dB,	PSNR-V: 38.63 dB,	MSE-Y: 14.51,	MSE-U: 15.44,	MSE-V: 8.92,	SSIM-Y: 0.92876,	SSIM-U: 0.89368,	SSIM-V: 0.90108 ]	      5 bytes
Picture Number:   15	 QP:   22  [ PSNR-Y: 35.92 dB,	PSNR-U: 35.57 dB,	PSNR-V: 38.34 dB,	MSE-Y: 16.64,	MSE-U: 18.02,	MSE-V: 9.54,	SSIM-Y: 0.91824,	SSIM-U: 0.87709,	SSIM-V: 0.89454 ]	 1429050 bytes
Picture Number:   16	 QP:    8  [ PSNR-Y: 44.46 dB,	PSNR-U: 44.39 dB,	PSNR-V: 44.72 dB,	MSE-Y: 2.33,	MSE-U: 2.37,	MSE-V: 2.19,	SSIM-Y: 0.98902,	SSIM-U: 0.98438,	SSIM-V: 0.97500 ]	      5 bytes
Picture Number:   17	 QP:   22  [ PSNR-Y: 35.89 dB,	PSNR-U: 35.62 dB,	PSNR-V: 38.40 dB,	MSE-Y: 16.73,	MSE-U: 17.82,	MSE-V: 9.40,	SSIM-Y: 0.91679,	SSIM-U: 0.87628,	SSIM-V: 0.89529 ]	 7667113 bytes
Picture Number:   18	 QP:   20  [ PSNR-Y: 36.71 dB,	PSNR-U: 36.33 dB,	PSNR-V: 38.74 dB,	MSE-Y: 13.86,	MSE-U: 15.14,	MSE-V: 8.70,	SSIM-Y: 0.93066,	SSIM-U: 0.89443,	SSIM-V: 0.90315 ]	      5 bytes
Picture Number:   19	 QP:   22  [ PSNR-Y: 35.91 dB,	PSNR-U: 35.67 dB,	PSNR-V: 38.49 dB,	MSE-Y: 16.68,	MSE-U: 17.64,	MSE-V: 9.20,	SSIM-Y: 0.91639,	SSIM-U: 0.87513,	SSIM-V: 0.89701 ]	 1327392 bytes
