name,avg_vmaf
parkjoy720p_27qp_0fr_50fps_medium-preset_8t,91.642940756
parkjoy720p_37qp_0fr_50fps_medium-preset_8t,59.82686444
parkjoy720p_27qp_0fr_50fps_slow-preset_8t,91.811037114
parkjoy720p_22qp_0fr_50fps_fast-preset_8t,98.465471176
parkjoy720p_22qp_0fr_50fps_medium-preset_8t,99.029528088
parkjoy720p_27qp_0fr_50fps_faster-preset_8t,87.758769126
parkjoy720p_22qp_0fr_50fps_faster-preset_8t,97.620416478
parkjoy720p_32qp_0fr_50fps_faster-preset_8t,72.397443008
parkjoy720p_32qp_0fr_50fps_fast-preset_8t,74.869170014
parkjoy720p_32qp_0fr_50fps_slower-preset_8t,78.578468574
parkjoy720p_37qp_0fr_50fps_slow-preset_8t,60.385055532
parkjoy720p_22qp_0fr_50fps_slower-preset_8t,99.091018576
parkjoy720p_27qp_0fr_50fps_slower-preset_8t,92.138375794
parkjoy720p_32qp_0fr_50fps_slow-preset_8t,78.025188248
parkjoy720p_37qp_0fr_50fps_slower-preset_8t,61.317219084
parkjoy720p_37qp_0fr_50fps_fast-preset_8t,56.216468278
parkjoy720p_22qp_0fr_50fps_slow-preset_8t,99.057311732
parkjoy720p_27qp_0fr_50fps_fast-preset_8t,89.836628044
parkjoy720p_32qp_0fr_50fps_medium-preset_8t,77.586577558
parkjoy720p_37qp_0fr_50fps_faster-preset_8t,53.422712354
