Picture Number:    0	 QP:    8  [ PSNR-Y: 40.53 dB,	PSNR-U: 49.72 dB,	PSNR-V: 49.89 dB,	MSE-Y: 5.75,	MSE-U: 0.69,	MSE-V: 0.67,	SSIM-Y: 0.96951,	SSIM-U: 0.99137,	SSIM-V: 0.99168 ]	  39636 bytes
Picture Number:    1	 QP:   22  [ PSNR-Y: 41.17 dB,	PSNR-U: 48.66 dB,	PSNR-V: 48.76 dB,	MSE-Y: 4.97,	MSE-U: 0.89,	MSE-V: 0.86,	SSIM-Y: 0.96897,	SSIM-U: 0.98952,	SSIM-V: 0.98998 ]	 126060 bytes
Picture Number:    2	 QP:   21  [ PSNR-Y: 41.39 dB,	PSNR-U: 48.19 dB,	PSNR-V: 48.40 dB,	MSE-Y: 4.72,	MSE-U: 0.99,	MSE-V: 0.94,	SSIM-Y: 0.96889,	SSIM-U: 0.98831,	SSIM-V: 0.98902 ]	      5 bytes
Picture Number:    3	 QP:   22  [ PSNR-Y: 41.00 dB,	PSNR-U: 48.13 dB,	PSNR-V: 48.22 dB,	MSE-Y: 5.17,	MSE-U: 1.00,	MSE-V: 0.98,	SSIM-Y: 0.96688,	SSIM-U: 0.98812,	SSIM-V: 0.98872 ]	   4741 bytes
Picture Number:    4	 QP:   20  [ PSNR-Y: 41.60 dB,	PSNR-U: 47.75 dB,	PSNR-V: 48.03 dB,	MSE-Y: 4.50,	MSE-U: 1.09,	MSE-V: 1.02,	SSIM-Y: 0.96809,	SSIM-U: 0.98713,	SSIM-V: 0.98796 ]	      5 bytes
Picture Number:    5	 QP:   22  [ PSNR-Y: 40.75 dB,	PSNR-U: 47.93 dB,	PSNR-V: 48.04 dB,	MSE-Y: 5.48,	MSE-U: 1.05,	MSE-V: 1.02,	SSIM-Y: 0.96686,	SSIM-U: 0.98769,	SSIM-V: 0.98850 ]	  14877 bytes
Picture Number:    6	 QP:   21  [ PSNR-Y: 40.76 dB,	PSNR-U: 47.64 dB,	PSNR-V: 47.73 dB,	MSE-Y: 5.46,	MSE-U: 1.12,	MSE-V: 1.10,	SSIM-Y: 0.96561,	SSIM-U: 0.98696,	SSIM-V: 0.98763 ]	      5 bytes
Picture Number:    7	 QP:   22  [ PSNR-Y: 40.82 dB,	PSNR-U: 47.74 dB,	PSNR-V: 48.04 dB,	MSE-Y: 5.39,	MSE-U: 1.10,	MSE-V: 1.02,	SSIM-Y: 0.96626,	SSIM-U: 0.98726,	SSIM-V: 0.98840 ]	   4695 bytes
Picture Number:    8	 QP:   17  [ PSNR-Y: 42.60 dB,	PSNR-U: 47.71 dB,	PSNR-V: 48.11 dB,	MSE-Y: 3.57,	MSE-U: 1.10,	MSE-V: 1.00,	SSIM-Y: 0.97214,	SSIM-U: 0.98678,	SSIM-V: 0.98819 ]	      5 bytes
Picture Number:    9	 QP:   22  [ PSNR-Y: 40.82 dB,	PSNR-U: 47.69 dB,	PSNR-V: 47.91 dB,	MSE-Y: 5.39,	MSE-U: 1.11,	MSE-V: 1.05,	SSIM-Y: 0.96601,	SSIM-U: 0.98700,	SSIM-V: 0.98826 ]	  29511 bytes
Picture Number:   10	 QP:   21  [ PSNR-Y: 40.58 dB,	PSNR-U: 47.57 dB,	PSNR-V: 47.68 dB,	MSE-Y: 5.70,	MSE-U: 1.14,	MSE-V: 1.11,	SSIM-Y: 0.96516,	SSIM-U: 0.98671,	SSIM-V: 0.98839 ]	      5 bytes
Picture Number:   11	 QP:   22  [ PSNR-Y: 40.65 dB,	PSNR-U: 47.75 dB,	PSNR-V: 48.06 dB,	MSE-Y: 5.59,	MSE-U: 1.09,	MSE-V: 1.02,	SSIM-Y: 0.96497,	SSIM-U: 0.98704,	SSIM-V: 0.98841 ]	   5764 bytes
Picture Number:   12	 QP:   20  [ PSNR-Y: 41.46 dB,	PSNR-U: 47.77 dB,	PSNR-V: 48.27 dB,	MSE-Y: 4.65,	MSE-U: 1.09,	MSE-V: 0.97,	SSIM-Y: 0.96882,	SSIM-U: 0.98710,	SSIM-V: 0.98863 ]	      5 bytes
Picture Number:   13	 QP:   22  [ PSNR-Y: 40.72 dB,	PSNR-U: 47.90 dB,	PSNR-V: 48.37 dB,	MSE-Y: 5.50,	MSE-U: 1.05,	MSE-V: 0.95,	SSIM-Y: 0.96721,	SSIM-U: 0.98762,	SSIM-V: 0.98930 ]	  14592 bytes
Picture Number:   14	 QP:   21  [ PSNR-Y: 40.81 dB,	PSNR-U: 48.07 dB,	PSNR-V: 48.40 dB,	MSE-Y: 5.39,	MSE-U: 1.01,	MSE-V: 0.94,	SSIM-Y: 0.96803,	SSIM-U: 0.98801,	SSIM-V: 0.98942 ]	      5 bytes
Picture Number:   15	 QP:   22  [ PSNR-Y: 41.04 dB,	PSNR-U: 48.55 dB,	PSNR-V: 48.97 dB,	MSE-Y: 5.12,	MSE-U: 0.91,	MSE-V: 0.82,	SSIM-Y: 0.96827,	SSIM-U: 0.98917,	SSIM-V: 0.99049 ]	   5183 bytes
Picture Number:   16	 QP:   11  [ PSNR-Y: 43.53 dB,	PSNR-U: 48.91 dB,	PSNR-V: 49.41 dB,	MSE-Y: 2.88,	MSE-U: 0.83,	MSE-V: 0.74,	SSIM-Y: 0.97537,	SSIM-U: 0.98965,	SSIM-V: 0.99091 ]	      5 bytes
Picture Number:   17	 QP:   22  [ PSNR-Y: 41.02 dB,	PSNR-U: 48.44 dB,	PSNR-V: 48.80 dB,	MSE-Y: 5.14,	MSE-U: 0.93,	MSE-V: 0.86,	SSIM-Y: 0.96730,	SSIM-U: 0.98891,	SSIM-V: 0.99009 ]	  45031 bytes
Picture Number:   18	 QP:   21  [ PSNR-Y: 41.20 dB,	PSNR-U: 48.44 dB,	PSNR-V: 49.06 dB,	MSE-Y: 4.94,	MSE-U: 0.93,	MSE-V: 0.81,	SSIM-Y: 0.96848,	SSIM-U: 0.98898,	SSIM-V: 0.99045 ]	      5 bytes
Picture Number:   19	 QP:   22  [ PSNR-Y: 40.95 dB,	PSNR-U: 48.39 dB,	PSNR-V: 48.94 dB,	MSE-Y: 5.22,	MSE-U: 0.94,	MSE-V: 0.83,	SSIM-Y: 0.96700,	SSIM-U: 0.98888,	SSIM-V: 0.99029 ]	   4403 bytes
Picture Number:   20	 QP:   19  [ PSNR-Y: 41.73 dB,	PSNR-U: 48.35 dB,	PSNR-V: 48.93 dB,	MSE-Y: 4.37,	MSE-U: 0.95,	MSE-V: 0.83,	SSIM-Y: 0.96937,	SSIM-U: 0.98874,	SSIM-V: 0.99016 ]	      5 bytes
